time,stockX,stockY,stockZ
0.0,86.5195,10.543906,2.9365911
0.1,86.321014,10.456234,3.0245516
0.2,86.12267,10.368429,3.1124532
0.3,85.92441,10.280535,3.2002876
0.4,85.7262,10.192528,3.288055
0.5,85.528046,10.104398,3.3757539
0.6,85.33023,10.016166,3.4633868
0.7,85.132355,9.927788,3.550945
0.8,84.93458,9.839274,3.6384287
0.90000004,84.73691,9.750613,3.7258353
1.0,84.53932,9.661801,3.8131616
1.1,84.34183,9.572827,3.9004054
1.2,84.14443,9.483691,3.9875638
1.3000001,83.94713,9.394384,4.0746336
1.4,83.749916,9.304901,4.161613
1.5,83.552795,9.215239,4.248498
1.6,83.35576,9.125393,4.3352866
1.7,83.15881,9.0353565,4.421974
1.8000001,82.96196,8.94513,4.50856
1.9,82.76518,8.854712,4.59504
2.0,82.56863,8.764106,4.681419
2.1000001,82.37203,8.673295,4.76768
2.2,82.175514,8.58229,4.8538275
2.3,81.97907,8.49109,4.9398584
2.4,81.78269,8.399698,5.0257726
2.5,81.58638,8.308118,5.1115665
2.6000001,81.39012,8.216352,5.197238
2.7,81.193924,8.124407,5.282786
2.8,80.99778,8.032286,5.3682075
2.9,80.801674,7.939991,5.453501
3.0,80.60562,7.8475327,5.5386634
3.1000001,80.4096,7.7549148,5.623695
3.2,80.21361,7.662144,5.708591
3.3,80.01766,7.56923,5.793351
3.4,79.82173,7.4761777,5.877973
3.5,79.62582,7.3829985,5.9624543
3.6000001,79.429924,7.289699,6.046793
3.7,79.23405,7.196291,6.130988
3.8,79.03801,7.102789,6.2150173
3.9,78.84212,7.0091915,6.2989097
4.0,78.646225,6.915513,6.3826466
4.1,78.450356,6.821765,6.4662266
4.2000003,78.25448,6.7279544,6.549644
4.3,78.05859,6.634095,6.6328945
4.4,77.8627,6.5401974,6.7159734
4.5,77.66682,6.446275,6.7988744
4.6,77.470924,6.352341,6.881591
4.7000003,77.27504,6.2584085,6.964115
4.8,77.07916,6.164493,7.046438
4.9,76.8833,6.07061,7.128553
5.0,76.68745,5.976776,7.210448
5.1,76.491615,5.8830075,7.2921143
5.2000003,76.29581,5.7893214,7.373541
5.3,76.100044,5.6957374,7.454716
5.4,75.90432,5.6022744,7.5356264
5.5,75.70864,5.5089517,7.61626
5.6,75.513145,5.4157844,7.6966014
5.7000003,75.31763,5.3228025,7.7766404
5.8,75.122185,5.2300286,7.856357
5.9,74.92686,5.1374855,7.9357367
6.0,74.73166,5.0451956,8.014765
6.1,74.53659,4.953181,8.093428
6.2000003,74.341675,4.8614593,8.171714
6.3,74.146904,4.7700524,8.249611
6.4,73.952324,4.6789756,8.327111
6.5,73.75791,4.588247,8.404203
6.6,73.56369,4.497874,8.480896
6.7000003,73.36968,4.407878,8.557159
6.8,73.175896,4.318261,8.633007
6.9,72.98231,4.229026,8.708442
7.0,72.78895,4.14017,8.78347
7.1,72.59579,4.051692,8.858098
